X Y Z R G B Nx Ny Nz
525 366 0.5 0 255 255 0 0 1
524 366 -0.5 0 255 255 0 0 -1
524 366 0.5 0 255 255 0 0 1
523 367 -0.5 0 255 255 0 0 -1
523 367 0.5 0 255 255 0 0 1
522 367 -0.5 0 255 255 0 0 -1
522 367 0.5 0 255 255 0 0 1
521 368 -0.5 0 255 255 0 0 -1
521 368 0.5 0 255 255 0 0 1
520 368 -0.5 0 255 255 0 0 -1
520 368 0.5 0 255 255 0 0 1
519 369 -0.5 0 255 255 0 0 -1
519 369 0.5 0 255 255 0 0 1
518 369 -0.5 0 255 255 0 0 -1
518 369 0.5 0 255 255 0 0 1
517 370 -0.5 0 255 255 0 0 -1
517 370 0.5 0 255 255 0 0 1
516 370 -0.5 0 255 255 0 0 -1
516 370 0.5 0 255 255 0 0 1
515 371 -0.5 0 255 255 0 0 -1
515 371 0.5 0 255 255 0 0 1
514 371 -0.5 0 255 255 0 0 -1
514 371 0.5 0 255 255 0 0 1
513 372 -0.5 0 255 255 0 0 -1
513 372 0.5 0 255 255 0 0 1
511 372 -0.5 0 255 255 0 0 -1
511 372 0.5 0 255 255 0 0 1
510 373 -0.5 0 255 255 0 0 -1
510 373 0.5 0 255 255 0 0 1
509 373 -0.5 0 255 255 0 0 -1
509 373 0.5 0 255 255 0 0 1
508 374 -0.5 0 255 255 0 0 -1
508 374 0.5 0 255 255 0 0 1
506 374 -0.5 0 255 255 0 0 -1
506 374 0.5 0 255 255 0 0 1
505 375 -0.5 0 255 255 0 0 -1
505 375 0.5 0 255 255 0 0 1
504 375 -0.5 0 255 255 0 0 -1
504 375 0.5 0 255 255 0 0 1
503 376 -0.5 0 255 255 0 0 -1
503 376 0.5 0 255 255 0 0 1
502 376 -0.5 0 255 255 0 0 -1
502 376 0.5 0 255 255 0 0 1
501 377 -0.5 0 255 255 0 0 -1
501 377 0.5 0 255 255 0 0 1
499 377 -0.5 0 255 255 0 0 -1
499 377 0.5 0 255 255 0 0 1
498 378 -0.5 0 255 255 0 0 -1
498 378 0.5 0 255 255 0 0 1
497 378 -0.5 0 255 255 0 0 -1
497 378 0.5 0 255 255 0 0 1
496 379 -0.5 0 255 255 0 0 -1
496 379 0.5 0 255 255 0 0 1
493 379 -0.5 0 255 255 0 0 -1
493 379 0.5 0 255 255 0 0 1
492 380 -0.5 0 255 255 0 0 -1
492 380 0.5 0 255 255 0 0 1
489 380 -0.5 0 255 255 0 0 -1
489 380 0.5 0 255 255 0 0 1
488 381 -0.5 0 255 255 0 0 -1
488 381 0.5 0 255 255 0 0 1
486 381 -0.5 0 255 255 0 0 -1
486 381 0.5 0 255 255 0 0 1
485 382 -0.5 0 255 255 0 0 -1
485 382 0.5 0 255 255 0 0 1
484 382 -0.5 0 255 255 0 0 -1
484 382 0.5 0 255 255 0 0 1
483 383 -0.5 0 255 255 0 0 -1
483 383 0.5 0 255 255 0 0 1
481 383 -0.5 0 255 255 0 0 -1
481 383 0.5 0 255 255 0 0 1
480 384 -0.5 0 255 255 0 0 -1
480 384 0.5 0 255 255 0 0 1
478 384 -0.5 0 255 255 0 0 -1
478 384 0.5 0 255 255 0 0 1
477 385 -0.5 0 255 255 0 0 -1
477 385 0.5 0 255 255 0 0 1
474 385 -0.5 0 255 255 0 0 -1
474 385 0.5 0 255 255 0 0 1
473 386 -0.5 0 255 255 0 0 -1
473 386 0.5 0 255 255 0 0 1
470 386 -0.5 0 255 255 0 0 -1
